City,Latitude,Longitude,Temperature (F),Maximum Temperature (F),Humidity,Cloudiness,Wind Speed,Country,Data
Dingle,10.9995,122.6711,76.39,76.39,87,100,7.36,PH,1631786761
Puerto Escondido,15.85,-97.0667,78.4,78.4,88,31,3.53,MX,1631786763
Kruisfontein,-34.0033,24.7314,59.88,59.88,76,87,13.06,ZA,1631786764
Nantucket,41.2835,-70.0995,72.34,73.51,94,1,6.91,US,1631786765
Ilulissat,69.2167,-51.1,24.82,24.82,39,20,4.61,GL,1631786766
Arlit,18.7369,7.3853,101.35,101.35,11,5,4.5,NE,1631786768
Farafangana,-22.8167,47.8333,77.63,77.63,65,2,12.68,MG,1631786769
Karasjok,69.4719,25.5112,42.91,42.91,72,100,7.67,NO,1631786771
Topchikha,52.8192,83.1185,72.18,72.18,27,73,6.4,RU,1631786772
Albany,42.6001,-73.9662,58.75,63.09,94,100,3.33,US,1631786773
São Gabriel da Cachoeira,-0.1303,-67.0892,69.1,69.1,98,65,1.48,BR,1631786774
Yellowknife,62.456,-114.3525,40.44,40.44,58,100,13.6,CA,1631786776
Pevek,69.7008,170.3133,31.75,31.75,95,100,11.18,RU,1631786778
Buala,-8.145,159.5921,79.75,79.75,82,31,5.59,SB,1631786779
Grindavik,63.8424,-22.4338,50.47,50.47,100,90,10.36,IS,1631786781
Khatanga,71.9667,102.5,34.47,34.47,93,100,12.33,RU,1631786783
Nouadhibou,20.931,-17.0347,74.34,74.34,73,6,13.38,MR,1631786530
Lompoc,34.6391,-120.4579,54.72,58.08,90,90,0.0,US,1631786785
Bereda,43.2686,-7.5406,65.79,68.41,90,92,4.14,ES,1631786785
Kaitangata,-46.2817,169.8464,39.11,39.11,79,77,4.23,NZ,1631786787
Mehamn,71.0357,27.8492,44.55,44.78,65,20,6.91,NO,1631786787
Anzoátegui,4.63,-75.0954,56.57,56.57,86,68,3.33,CO,1631786789
Zhezkazgan,47.8043,67.7144,82.2,82.2,18,0,17.72,KZ,1631786790
Muhos,64.808,25.9931,46.18,46.89,58,23,2.06,FI,1631786791
Avera,33.194,-82.5271,69.57,71.47,98,100,8.28,US,1631786792
Asău,46.4333,26.4,76.62,78.76,52,9,3.06,RO,1631786794
Avarua,-21.2078,-159.775,75.25,75.25,78,75,13.8,CK,1631786796
Vallenar,-28.5708,-70.7581,53.04,53.04,60,7,1.21,CL,1631786797
Taltal,-25.4,-70.4833,55.6,55.6,73,4,4.47,CL,1631786799
Daule,-1.865,-79.9792,69.98,70.74,78,94,2.82,EC,1631786800
Puerto Colombia,10.9878,-74.9547,80.69,80.69,83,68,6.46,CO,1631786802
Kendari,-3.945,122.4989,75.79,75.79,88,100,1.99,ID,1631786803
Esperance,-33.8667,121.9,51.64,51.64,73,31,29.39,AU,1631786803
Bengkulu,-3.8004,102.2655,81.54,81.54,85,45,7.25,ID,1631786804
Carnarvon,-24.8667,113.6333,65.21,65.21,57,5,20.0,AU,1631786804
Whitehorse,60.7161,-135.0538,36.1,41.02,93,100,7.65,CA,1631786804
Adamantas,36.7333,24.4333,80.02,80.02,70,0,8.25,GR,1631786806
Bredasdorp,-34.5322,20.0403,57.52,57.52,59,97,7.49,ZA,1631786807
Lufilufi,-13.8745,-171.5986,81.19,81.19,79,20,22.57,WS,1631786809
Jamestown,42.097,-79.2353,53.4,58.06,99,90,1.01,US,1631786810
Codrington,-38.2667,141.9667,46.58,46.58,91,18,9.8,AU,1631786811
Şebinkarahisar,40.2883,38.4236,68.47,68.47,50,19,8.3,TR,1631786571
Inta,66.0317,60.1659,47.82,47.82,64,87,16.73,RU,1631786812
Leningradskiy,69.3833,178.4167,28.67,28.67,92,100,5.35,RU,1631786813
Port Shepstone,-30.7414,30.455,60.24,60.24,92,100,9.22,ZA,1631786815
Takāb,36.4009,47.1133,85.21,85.21,10,0,15.82,IR,1631786816
Anjiang,27.3194,110.1031,82.81,82.81,78,63,2.28,CN,1631786818
Rio Grande,-32.035,-52.0986,41.95,41.95,81,0,5.61,BR,1631786818
La Ronge,55.1001,-105.2842,47.84,47.84,62,30,19.15,CA,1631786820
Adrar,20.5022,-10.0711,93.99,93.99,18,57,11.14,MR,1631786821
Almaznyy,48.0448,40.045,69.94,69.94,26,28,9.42,RU,1631786823
Nelson Bay,-32.7167,152.15,52.32,57.0,92,8,6.69,AU,1631786603
Araguaçu,-12.9306,-49.8264,81.3,81.3,27,1,4.74,BR,1631786825
Viedma,-40.8135,-62.9967,46.9,46.9,59,0,3.13,AR,1631786827
Kapaa,22.0752,-159.319,71.83,75.18,85,75,1.01,US,1631786828
St. George's,12.0564,-61.7485,81.23,81.23,81,5,11.79,GD,1631786830
Simbahan,6.3032,120.5836,80.31,80.31,81,100,17.94,PH,1631786831
Ust'-Barguzin,53.45,108.9833,52.34,52.34,74,95,4.43,RU,1631786831
Nikolskoye,59.7035,30.7861,48.09,48.09,70,100,4.45,RU,1631786833
Ust-Nera,64.5667,143.2,48.38,48.38,69,7,3.44,RU,1631786834
Vágur,61.4732,-6.8119,52.07,52.07,81,42,9.84,FO,1631786836
Koslan,63.4564,48.8989,44.01,44.01,85,100,7.72,RU,1631786838
Qaanaaq,77.484,-69.3632,16.11,16.11,74,99,8.61,GL,1631786839
Behshahr,36.6923,53.5526,89.19,89.19,47,0,8.34,IR,1631786841
Yar-Sale,66.8333,70.8333,44.82,44.82,65,95,14.14,RU,1631786842
Tiksi,71.6872,128.8694,43.74,43.74,68,100,5.53,RU,1631786761
Ekibastuz,51.6667,75.3667,76.23,76.23,23,78,12.59,KZ,1631786844
Kiama,-34.6833,150.8667,54.57,58.37,83,45,3.27,AU,1631786845
Shache,38.4167,77.2406,88.29,88.29,13,0,2.08,CN,1631786846
Cuamba,-14.8031,36.5372,92.26,92.26,25,15,5.23,MZ,1631786846
Bambous Virieux,-20.3428,57.7575,75.45,77.22,78,40,9.22,MU,1631786847
Saint-Philippe,-21.3585,55.7679,77.65,79.11,71,0,11.83,RE,1631786849
Rocky Mountain House,52.3668,-114.9188,39.83,39.83,53,62,9.17,CA,1631786850
Owosso,42.9978,-84.1766,51.62,57.34,97,1,0.0,US,1631786852
New Norfolk,-42.7826,147.0587,46.36,49.5,73,75,2.21,AU,1631786855
Rawson,-43.3002,-65.1023,50.18,50.18,57,4,10.58,AR,1631786855
Mahébourg,-20.4081,57.7,75.49,77.25,78,40,9.22,MU,1631786857
São João da Barra,-21.6403,-41.0511,73.49,73.49,89,100,9.15,BR,1631786859
Upernavik,72.7868,-56.1549,25.5,25.5,80,96,7.65,GL,1631786574
Alice Springs,-23.7,133.8833,87.35,87.35,13,55,8.05,AU,1631786861
Lüderitz,-26.6481,15.1594,70.0,70.0,34,1,23.71,NA,1631786861
Siruguppa,15.6333,76.9,88.02,88.02,49,100,14.27,IN,1631786863
Hermanus,-34.4187,19.2345,56.73,56.73,64,100,7.78,ZA,1631786863
Ovalle,-30.5983,-71.2003,51.39,51.39,72,3,1.25,CL,1631786865
Sajanan,37.0573,9.2426,92.95,92.95,36,83,8.9,TN,1631786866
Morant Bay,17.8815,-76.4093,75.61,75.61,86,90,8.5,JM,1631786868
Blagoyevo,63.3667,47.9167,43.43,43.43,86,100,8.81,RU,1631786869
Aksu,41.1231,80.2644,83.98,83.98,19,42,2.64,CN,1631786870
Newtownards,54.5924,-5.6909,59.95,60.53,86,40,4.0,GB,1631786871
Bolitoc,15.7395,119.8769,82.56,82.56,84,84,8.48,PH,1631786872
Ürümqi,43.801,87.6005,81.55,81.55,18,0,6.71,CN,1631786872
Tibiri,13.5627,7.0485,90.86,90.86,49,47,9.42,NE,1631786873
Ancud,-41.8697,-73.8203,49.53,49.53,93,100,13.91,CL,1631786875
Balikpapan,-1.2675,116.8289,81.59,81.59,74,40,2.3,ID,1631786877
Ponta do Sol,32.6667,-17.1,77.29,78.71,64,25,3.4,PT,1631786877
Adwa,14.1646,38.8955,76.95,76.95,42,88,4.38,ET,1631786878
Souillac,-20.5167,57.5167,75.58,77.36,78,40,9.22,MU,1631786880
Vila Franca do Campo,37.7167,-25.4333,72.01,72.01,66,9,3.0,PT,1631786881
Laas,46.6166,10.7002,61.84,64.02,86,99,3.11,IT,1631786883
Barrow,71.2906,-156.7887,33.82,33.82,80,90,9.22,US,1631786884
Daru,-9.0763,143.2092,76.23,76.23,73,48,18.07,PG,1631786886
Cabo San Lucas,22.8909,-109.9124,79.93,80.62,82,12,10.4,MX,1631786887
Dikson,73.5069,80.5464,38.16,38.16,88,100,24.79,RU,1631786888
Vardø,70.3705,31.1107,43.0,43.0,74,87,5.37,NO,1631786889
De-Kastri,51.4667,140.7833,56.79,56.79,91,100,7.72,RU,1631786891
Genhe,50.7833,121.5167,46.83,46.83,67,9,4.03,CN,1631786784
Santiago de Cao,-7.9589,-79.2392,61.03,61.03,86,100,8.77,PE,1631786891
Conde,-7.2597,-34.9075,76.46,76.46,94,20,5.75,BR,1631786893
Dudinka,69.4058,86.1778,40.35,40.35,93,100,5.1,RU,1631786894
Bethanien,-26.502,17.1583,61.66,61.66,20,2,12.35,NA,1631786896
Atuona,-9.8,-139.0333,77.54,77.54,71,2,20.04,PF,1631786897
Katsuura,35.1333,140.3,73.51,73.51,78,67,15.73,JP,1631786886
Port Elizabeth,-33.918,25.5701,57.49,62.1,88,75,19.57,ZA,1631786899
Praia da Vitória,38.7333,-27.0667,73.76,73.76,82,18,4.03,PT,1631786901
Kalmunai,7.4167,81.8167,84.92,84.92,69,85,7.29,LK,1631786902
Talnakh,69.4865,88.3972,38.75,38.75,97,100,9.57,RU,1631786902
Saint Paul Harbor,57.79,-152.4072,49.78,49.78,98,100,14.16,US,1631786904
Porto-Novo,6.4965,2.6036,85.03,85.03,64,91,4.21,BJ,1631786906
Port Macquarie,-31.4333,152.9167,51.76,51.76,73,11,6.24,AU,1631786907
Yining,29.0361,114.5636,80.89,80.89,66,37,3.33,CN,1631786908
Sal Rei,16.1833,-22.9167,82.6,82.6,74,75,20.71,CV,1631786908
Kirovskiy,45.0917,133.5136,55.89,55.89,97,100,5.06,RU,1631786911
Provideniya,64.3833,-173.3,39.34,39.34,65,100,2.84,RU,1631786911
Miguel Hidalgo,19.4225,-99.2028,62.01,62.01,77,90,4.61,MX,1631786912
Faanui,-16.4833,-151.75,78.67,78.67,75,1,19.57,PF,1631786914
Oschatz,51.3,13.1167,63.41,63.91,84,99,9.44,DE,1631786766
Longyearbyen,78.2186,15.6401,42.64,42.64,70,75,14.97,SJ,1631786916
Shakiso,5.75,38.9167,71.02,71.02,66,99,5.03,ET,1631786918
Ruska Poliana,49.417,31.9201,68.49,68.49,32,66,3.85,UA,1631786919
Hammerfest,70.6634,23.6821,46.85,46.85,66,0,9.22,NO,1631786921
San Rafael,-34.6177,-68.3301,52.25,52.25,24,0,6.31,AR,1631786922
Murchison,-41.8,172.3333,35.73,35.73,89,43,2.53,NZ,1631786923
Los Llanos de Aridane,28.6585,-17.9182,73.13,73.15,72,75,10.36,ES,1631786925
Faya,18.3851,42.4509,77.52,77.52,35,39,11.25,SA,1631786926
Indramayu,-6.3264,108.32,83.91,83.91,69,60,11.81,ID,1631786761
East London,-33.0153,27.9116,61.43,61.43,69,97,13.73,ZA,1631786929
Makakilo City,21.3469,-158.0858,73.18,77.32,79,1,4.61,US,1631786931
Sawtell,-30.3833,153.1,59.02,59.02,72,75,11.5,AU,1631786932
Muros,42.7762,-9.0603,68.56,74.23,74,0,6.31,ES,1631786933
Uyuni,-20.4597,-66.825,38.59,38.59,29,64,6.78,BO,1631786934
Abu Dhabi,24.4667,54.3667,109.42,109.51,14,0,2.3,AE,1631786862
Olafsvik,64.8945,-23.7142,51.69,51.69,87,98,13.31,IS,1631786936
Haines Junction,60.7522,-137.5108,36.95,36.95,89,100,5.03,CA,1631786937
Hobart,-42.8794,147.3294,48.45,49.86,82,75,1.01,AU,1631786814
Dublin,37.7021,-121.9358,55.31,57.97,85,20,5.99,US,1631786790
Vestmannaeyjar,63.4427,-20.2734,53.85,53.85,87,100,11.95,IS,1631786939
Severnyy,50.677,36.5532,60.84,60.84,48,0,11.18,RU,1631786941
Kununurra,-15.7667,128.7333,91.38,91.38,40,58,10.36,AU,1631786942
Xifeng,42.7372,124.7222,60.62,60.62,97,100,3.22,CN,1631786771
Saldanha,-33.0117,17.9442,59.95,59.95,67,0,24.36,ZA,1631786943
Jablah,35.3614,35.9256,78.28,78.28,66,52,9.55,SY,1631786945
Batagay,67.6333,134.6333,49.71,49.71,68,99,4.27,RU,1631786946
Huaibei,33.9744,116.7917,77.68,77.68,72,86,4.27,CN,1631786671
Pisco,-13.7,-76.2167,59.05,59.05,88,41,8.05,PE,1631786948
Camopi,3.1655,-52.3158,71.11,71.11,99,35,1.3,GF,1631786950
Hobyo,5.3505,48.5268,84.04,84.04,69,20,26.66,SO,1631786952
Manbij,36.5281,37.9549,83.17,83.17,32,0,13.35,SY,1631786953
Pāsighāt,28.0667,95.3333,87.22,87.22,63,87,2.44,IN,1631786955
Juba,4.8517,31.5825,89.65,89.65,50,67,2.55,SS,1631786955
Ola,59.5833,151.2833,47.82,47.82,80,2,0.47,RU,1631786957
Raudeberg,61.9875,5.1352,54.84,57.2,96,100,4.03,NO,1631786958
Eyl,7.9803,49.8164,93.58,93.58,47,94,22.93,SO,1631786960
Lebu,-37.6167,-73.65,45.64,45.64,86,6,5.7,CL,1631786961
Chimbote,-9.0853,-78.5783,60.28,60.28,89,99,6.98,PE,1631786963
Bom Jesus,-9.0744,-44.3586,77.58,77.58,41,0,2.06,BR,1631786964
Tuatapere,-46.1333,167.6833,39.81,39.81,85,70,3.87,NZ,1631786966
Norman Wells,65.282,-126.8329,43.59,43.59,92,96,6.08,CA,1631786967
Soldotna,60.4878,-151.0583,45.88,46.96,86,90,3.44,US,1631786968
Oodweyne,9.4092,45.064,90.9,90.9,28,54,15.48,SO,1631786970
Friesoythe,53.0167,7.85,63.99,65.03,86,90,14.94,DE,1631786971
Mayya,61.7333,130.2811,51.12,51.12,95,100,4.92,RU,1631786973
Storforshei,66.4043,14.5233,51.58,51.58,62,75,12.66,NO,1631786975
Hithadhoo,-0.6,73.0833,83.43,83.43,70,75,9.08,MV,1631786976
Waipawa,-41.4122,175.5153,44.71,46.02,82,100,19.08,NZ,1631786976
George Town,5.4112,100.3354,85.89,87.73,77,20,5.75,MY,1631786819
Gisborne,-38.6533,178.0042,49.95,49.95,93,98,8.28,NZ,1631786978
Diamantino,-14.4086,-56.4461,74.84,74.84,71,0,3.18,BR,1631786978
Arraial do Cabo,-22.9661,-42.0278,71.46,71.46,88,75,8.05,BR,1631786980
Ribeira Grande,38.5167,-28.7,72.0,72.0,83,40,5.75,PT,1631786981
Kokstad,-30.5472,29.4241,48.45,48.45,92,100,3.94,ZA,1631786983
Liezen,47.5667,14.2333,70.77,70.99,84,96,2.98,AT,1631786985
Kamenka,51.3223,42.7678,59.18,59.18,38,37,13.42,RU,1631786987
Husavik,66.0449,-17.3389,55.96,55.96,73,98,11.52,IS,1631786988
Erdenet,49.0333,104.0833,59.31,59.31,61,10,2.73,MN,1631786844
Santa Maria,-29.6842,-53.8069,45.99,45.99,92,1,4.99,BR,1631786990
Sept-Îles,50.2001,-66.3821,48.06,48.06,94,70,1.01,CA,1631786991
Cap Malheureux,-19.9842,57.6142,77.47,77.47,73,7,5.99,MU,1631786992
Virginia Beach,36.8529,-75.978,71.89,75.22,95,1,3.44,US,1631786994
Airai,-8.9266,125.4092,63.63,63.63,77,53,3.58,TL,1631786995
Mil'kovo,54.7167,158.6167,46.49,46.49,64,0,3.74,RU,1631786995
Pio IX,-6.8375,-40.5792,75.31,75.31,59,0,10.51,BR,1631786997
Lázaro Cárdenas,17.9583,-102.2,75.67,75.67,91,100,4.68,MX,1631786998
Lagos,6.5833,3.75,85.95,85.95,61,97,4.5,NG,1631786999
Concepción del Oro,24.6333,-101.4167,61.23,61.23,76,100,2.84,MX,1631787002
Sarakhs,36.5449,61.1577,99.32,99.32,6,0,8.05,IR,1631787003
Naviraí,-23.065,-54.1906,64.98,64.98,95,29,2.55,BR,1631787004
Salinópolis,-0.6136,-47.3561,78.8,78.8,87,9,9.01,BR,1631786714
Kitahiroshima,42.9758,141.5672,60.82,60.82,81,100,7.92,JP,1631786869
Sirte,31.2089,16.5887,81.23,81.23,48,0,6.55,LY,1631787007
Magalia,39.8121,-121.5783,55.08,61.21,31,0,4.45,US,1631787008
Waddān,29.1614,16.139,84.88,84.88,28,0,5.06,LY,1631787009
Bethel,41.3712,-73.414,66.18,70.81,90,90,5.75,US,1631787011
Saint-Augustin,51.226,-58.6502,55.63,55.63,97,100,9.98,CA,1631787012
Griffith,41.5284,-87.4237,52.68,62.53,94,1,0.0,US,1631787013
Santa Isabel Rio Negro,-0.4139,-65.0192,70.65,70.65,89,36,2.08,BR,1631787014
Pitimbu,-7.4706,-34.8086,77.59,77.59,78,23,14.63,BR,1631786802
Ararat,39.8317,44.7049,88.14,88.14,15,0,0.74,AM,1631787016
Cidreira,-30.1811,-50.2056,55.58,55.58,66,41,2.95,BR,1631787017
Rudnogorsk,57.2639,103.7519,42.91,42.91,65,100,3.47,RU,1631787019
Wuda,39.4994,106.7117,76.33,76.33,30,2,3.31,CN,1631787021
Qaryat Sulūq,31.6682,20.2521,85.8,85.8,31,0,8.84,LY,1631787022
Tabuk,17.4189,121.4443,79.99,79.99,85,90,5.14,PH,1631787023
Egvekinot,66.3167,-179.1667,29.12,29.12,81,99,0.36,RU,1631787024
Hasaki,35.7333,140.8333,70.2,70.2,66,98,16.4,JP,1631787025
Mae Sai,20.4335,99.8762,81.03,81.03,82,100,1.34,TH,1631787027
Lambaréné,-0.7001,10.2406,83.07,83.07,70,89,3.36,GA,1631787027
Sioux Lookout,50.1001,-91.917,55.47,55.47,100,75,4.61,CA,1631787029
Hay River,60.8156,-115.7999,42.64,42.64,70,100,15.32,CA,1631787030
Dongsheng,39.8161,109.9776,66.11,66.11,35,13,10.07,CN,1631786757
Methóni,36.8197,21.7049,84.06,84.06,60,0,12.44,GR,1631787032
Ortigueira,-24.2083,-50.9494,60.98,60.98,92,98,5.84,BR,1631787033
Juventino Rosas,20.65,-101.0,61.75,61.75,95,100,1.63,MX,1631787035
Al Bardīyah,31.7561,25.0865,81.61,81.61,54,0,18.41,LY,1631787036
Porosozero,62.7191,32.727,45.9,45.9,57,82,5.73,RU,1631787037
Imuris,30.7833,-110.8667,74.23,74.23,40,9,2.68,MX,1631787038
Puerto Baquerizo Moreno,-0.9,-89.6,67.95,67.95,85,65,13.31,EC,1631787039
Udachny,66.4167,112.4,45.16,45.16,52,91,9.44,RU,1631787041
Derzhavīnsk,51.1,66.3167,77.36,77.36,27,8,25.48,KZ,1631787044
Ponta Porã,-22.5361,-55.7256,62.35,62.35,97,59,3.29,BR,1631787044
Plácido de Castro,-10.3353,-67.1856,72.07,72.07,86,8,2.19,BR,1631787046
Kidal,18.4411,1.4078,96.55,96.55,28,5,10.16,ML,1631787048
Lianzhou,24.7811,112.3825,79.54,79.54,87,97,0.54,CN,1631787049
Atikokan,48.7555,-91.6216,58.14,58.14,72,94,11.18,CA,1631787049
Lorengau,-2.0226,147.2712,76.96,76.96,86,100,5.75,PG,1631787050
Cockburn Town,21.4612,-71.1419,82.89,82.89,79,71,16.08,TC,1631787051
Terney,45.0503,136.6092,59.9,59.9,78,100,6.44,RU,1631787052
Labuhan,-6.8844,112.2051,83.86,83.86,69,72,10.27,ID,1631787052
Molina,-35.1167,-71.2833,40.73,40.73,100,0,5.75,CL,1631787052
Aklavik,68.2191,-135.0107,44.4,44.4,86,84,5.59,CA,1631787054
Nome,64.5011,-165.4064,42.87,42.87,81,90,8.05,US,1631787055
Touros,-5.1989,-35.4608,76.1,76.1,78,68,15.17,BR,1631787058
São Filipe,14.8961,-24.4956,80.01,80.01,79,57,6.08,CV,1631787059
Andenes,69.3143,16.1194,48.18,48.18,71,0,17.27,NO,1631787061
Kefamenanu,-9.4467,124.4781,76.06,76.06,74,63,7.18,ID,1631787062
Port Blair,11.6667,92.75,77.52,77.52,87,100,11.34,IN,1631787062
Aquiraz,-3.9014,-38.3911,82.49,82.49,78,81,14.2,BR,1631787062
Houma,29.5958,-90.7195,77.23,79.0,95,3,2.75,US,1631787064
Belmonte,-15.8631,-38.8828,70.3,70.3,80,21,4.52,BR,1631787065
Hearst,49.6835,-83.6665,47.73,47.73,83,16,8.63,CA,1631787067
Havre-St-Pierre,50.2334,-63.5986,50.45,50.45,89,100,11.52,CA,1631787068
Cayenne,4.9333,-52.3333,78.1,78.1,89,0,2.3,GF,1631787069
Williston,48.147,-103.618,54.05,54.34,61,100,3.0,US,1631787070
Osakarovka,50.565,72.5692,74.82,74.82,24,16,13.22,KZ,1631787072
Sekondi,4.937,-1.7128,81.03,81.03,76,54,4.5,GH,1631787072
Muisne,0.6,-80.0333,73.33,73.33,92,100,7.25,EC,1631787074
Freeport,40.6576,-73.5832,70.65,73.26,82,75,1.99,US,1631787076
Hong Kong,22.2855,114.1577,83.59,86.32,74,41,10.63,HK,1631787005
Tambura,5.6,27.4667,84.0,84.0,67,85,0.69,SS,1631787077
Wajid,3.8093,43.2471,87.55,87.55,44,91,18.23,SO,1631787079
Salalah,17.0151,54.0924,86.09,86.09,84,75,12.66,OM,1631787082
Castro,-24.7911,-50.0119,55.92,55.92,98,100,5.95,BR,1631787083
Port Augusta,-32.5,137.7667,73.71,77.14,18,99,12.93,AU,1631787085
San Cristobal,7.7669,-72.225,64.29,64.29,87,24,3.18,VE,1631787087
North Bend,43.4065,-124.2243,46.98,49.86,87,1,6.91,US,1631787088
Upata,8.0086,-62.3989,69.46,69.46,99,15,3.6,VE,1631787089
Pareora,-44.4871,171.2132,44.91,44.91,74,100,9.53,NZ,1631787090
Hutchinson,38.0608,-97.9298,66.54,68.29,84,1,1.01,US,1631787091
Sawākin,19.1059,37.3321,95.29,95.29,41,1,15.28,SD,1631787092
Aksarka,66.5606,67.7975,42.73,42.73,83,100,15.01,RU,1631787093
Wattegama,6.7989,81.4808,91.76,91.76,45,96,5.08,LK,1631787096
Nemuro,43.3236,145.575,55.38,55.38,71,100,9.33,JP,1631787096
Talcahuano,-36.7167,-73.1167,42.48,42.48,100,0,4.61,CL,1631787097
Nizhnyaya Tavda,57.6731,66.1725,56.01,56.01,52,49,11.7,RU,1631787098
Sakaiminato,35.55,133.2333,74.57,74.57,77,97,13.4,JP,1631787100
Mandalgovi,45.7625,106.2708,67.86,67.86,30,52,9.08,MN,1631787100
Ceres,37.5949,-120.9577,57.85,66.78,82,1,4.61,US,1631787101
Sinnamary,5.3833,-52.95,78.91,78.91,84,5,6.78,GF,1631787102
Bathsheba,13.2167,-59.5167,81.07,81.07,80,29,14.32,BB,1631787104
Jāwā,31.8525,35.9393,77.31,80.38,44,40,5.75,JO,1631787105
Constitución,-35.3333,-72.4167,48.49,48.49,80,0,6.11,CL,1631787106
Rancho Palos Verdes,33.7445,-118.387,60.67,64.11,89,15,1.99,US,1631787108
Scottsbluff,41.8666,-103.6672,52.07,61.23,50,1,3.44,US,1631787109
Chernyshevskiy,63.0128,112.4714,44.02,44.02,68,45,2.53,RU,1631787110
Sibolga,1.7427,98.7792,83.98,83.98,69,17,3.27,ID,1631787111
Pangnirtung,66.1451,-65.7125,34.03,34.03,70,100,2.08,CA,1631787111
Oistins,13.0667,-59.5333,80.94,80.94,79,21,15.17,BB,1631787113
Flinders,-34.5833,150.8552,55.51,58.17,78,58,1.99,AU,1631787114
Nanzhou,29.3596,112.4024,81.63,81.63,73,0,6.82,CN,1631787115
Sitka,57.0531,-135.33,51.69,51.69,76,90,10.36,US,1631787115
Barra de Tecoanapa,16.5167,-98.75,76.33,76.33,92,90,3.09,MX,1631787117
Trairi,-3.2778,-39.2689,80.76,80.76,76,77,13.04,BR,1631787118
Dolinsk,47.35,142.8,57.06,57.06,82,100,8.5,RU,1631787119
The Valley,18.217,-63.0578,81.82,82.09,73,53,16.96,AI,1631787119
